match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_112279566,Ranked Flex,1763218348853,2025-11-15 14:52:28,2025-11-15 15:18:51,1583,Hwei,MIDDLE,6,5,8,2.8,10914,155,5.87,28577,19751,775,0,775,1083.15,False
SG2_112216447,Ranked Flex,1763201148284,2025-11-15 10:05:48,2025-11-15 10:33:01,1633,Volibear,JUNGLE,12,3,7,6.33,12882,149,5.47,15767,30843,43427,3551,39876,579.31,True
SG2_112207340,Ranked Flex,1763198358470,2025-11-15 09:19:18,2025-11-15 09:58:17,2339,KSante,TOP,8,3,10,6.0,16760,227,5.82,31086,48018,9486,2852,6634,797.42,True
SG2_112091320,Normal Draft,1763137563769,2025-11-14 16:26:03,2025-11-14 16:53:22,1639,Velkoz,UTILITY,5,5,11,3.2,9526,30,1.1,28080,14903,3655,2471,1184,1027.94,True
SG2_112084244,Normal Draft,1763135906952,2025-11-14 15:58:26,2025-11-14 16:20:07,1301,Thresh,UTILITY,2,4,8,2.5,6414,21,0.97,7352,14658,632,632,0,339.06,False
SG2_111856677,Ranked Solo/Duo,1763042662518,2025-11-13 14:04:22,2025-11-13 14:31:43,1641,Pantheon,TOP,6,2,7,6.5,10843,153,5.59,14318,20178,16568,5648,10920,523.51,True
SG2_111847872,Ranked Solo/Duo,1763041137452,2025-11-13 13:38:57,2025-11-13 13:56:16,1039,Rell,UTILITY,1,2,9,5.0,5183,22,1.27,3292,7512,5185,0,5185,190.11,True
SG2_111839303,Ranked Solo/Duo,1763038570687,2025-11-13 12:56:10,2025-11-13 13:29:08,1978,Sion,TOP,7,6,11,3.0,12602,190,5.76,26955,46637,4844,4436,408,817.64,False
SG2_111828916,Ranked Solo/Duo,1763036038442,2025-11-13 12:13:58,2025-11-13 12:49:14,2116,Velkoz,UTILITY,4,9,13,1.89,9975,37,1.05,30394,24929,6607,747,5860,861.83,True
SG2_111520415,Ranked Flex,1762878926692,2025-11-11 16:35:26,2025-11-11 17:05:37,1811,Thresh,UTILITY,1,8,35,4.5,10913,23,0.76,16466,31322,5508,527,4981,545.53,True
SG2_111510527,Ranked Flex,1762876674140,2025-11-11 15:57:54,2025-11-11 16:28:29,1835,Nautilus,UTILITY,8,6,40,8.0,12821,34,1.11,20273,37070,11463,3583,7880,662.88,True
SG2_111501915,Ranked Flex,1762874754992,2025-11-11 15:25:54,2025-11-11 15:47:26,1292,Rakan,UTILITY,0,3,24,8.0,7443,19,0.88,6792,13543,5406,2038,3368,315.42,True
SG2_111487789,Ranked Solo/Duo,1762871793429,2025-11-11 14:36:33,2025-11-11 15:08:04,1891,Sion,TOP,2,4,14,4.0,13585,242,7.68,23313,37220,2761,2281,480,739.7,False
SG2_111258458,Ranked Solo/Duo,1762778015160,2025-11-10 12:33:35,2025-11-10 13:04:11,1836,Pantheon,TOP,5,4,5,2.5,12439,163,5.33,17960,24607,14309,10999,3310,586.93,True
SG2_111239928,Ranked Solo/Duo,1762773206577,2025-11-10 11:13:26,2025-11-10 11:49:33,2167,Ornn,TOP,5,5,9,2.8,13261,193,5.34,22244,42694,7108,4808,2300,615.89,False
SG2_111238700,Ranked Solo/Duo,1762772674116,2025-11-10 11:04:34,2025-11-10 11:06:17,103,Sion,TOP,0,0,0,0,508,0,0.0,0,104,0,0,0,0.0,True
SG2_111231492,Ranked Solo/Duo,1762769990040,2025-11-10 10:19:50,2025-11-10 10:47:19,1649,Gnar,TOP,5,8,1,0.75,10710,170,6.19,21546,34174,3021,870,2151,783.97,False
SG2_111225525,Ranked Solo/Duo,1762767739195,2025-11-10 09:42:19,2025-11-10 10:12:21,1802,Sion,TOP,2,4,7,2.25,10729,195,6.49,15493,35305,7413,4649,2764,515.86,False
SG2_111053238,Ranked Flex,1762691193277,2025-11-09 12:26:33,2025-11-09 13:10:44,2651,Galio,TOP,4,7,15,2.71,16210,290,6.56,25957,49582,9582,3708,5874,587.48,False
SG2_110374205,Ranked Flex,1762365698739,2025-11-05 18:01:38,2025-11-05 18:26:56,1518,Ryze,MIDDLE,10,3,12,7.33,10861,148,5.85,19872,17275,7152,3032,4120,785.45,True
SG2_110368736,Ranked Flex,1762363215113,2025-11-05 17:20:15,2025-11-05 17:49:39,1764,Azir,MIDDLE,8,3,13,7.0,13470,194,6.6,27569,25673,19928,7627,12301,937.72,True
SG2_110360815,Ranked Flex,1762360572123,2025-11-05 16:36:12,2025-11-05 17:12:53,2201,AurelionSol,MIDDLE,8,7,8,2.29,13774,222,6.05,41182,25680,6744,0,6744,1122.64,False
SG2_110350777,Ranked Flex,1762358033390,2025-11-05 15:53:53,2025-11-05 16:24:56,1863,Ryze,MIDDLE,8,8,9,2.12,12267,181,5.83,33130,46368,8976,1333,7643,1066.99,False
SG2_110337203,Ranked Solo/Duo,1762353359402,2025-11-05 14:35:59,2025-11-05 15:08:21,1942,Sion,TOP,2,2,15,8.5,12952,203,6.27,20266,29458,15442,9988,5454,626.14,True
SG2_110328129,Ranked Solo/Duo,1762351289128,2025-11-05 14:01:29,2025-11-05 14:24:06,1357,Rakan,UTILITY,0,7,5,0.71,5147,28,1.24,4358,17915,1215,0,1215,192.69,False
SG2_110315688,Ranked Solo/Duo,1762348458061,2025-11-05 13:14:18,2025-11-05 13:48:47,2069,Pantheon,TOP,8,6,4,2.0,12570,173,5.02,28554,26319,8660,3925,4735,828.05,True
SG2_110221920,Ranked Flex,1762285900533,2025-11-04 19:51:40,2025-11-04 20:26:56,2116,Azir,MIDDLE,3,8,6,1.12,13102,253,7.17,19917,33021,5188,0,5188,564.75,False
SG2_110218762,Ranked Flex,1762283390620,2025-11-04 19:09:50,2025-11-04 19:40:51,1861,Aurora,MIDDLE,6,7,10,2.29,11167,135,4.35,36573,27952,3408,2622,786,1179.14,False
SG2_110213783,Ranked Flex,1762280055353,2025-11-04 18:14:15,2025-11-04 19:02:10,2875,Gangplank,TOP,16,11,26,3.82,22728,262,5.47,53300,62422,44727,10615,34112,1112.35,True
SG2_109863310,Ranked Flex,1762106562941,2025-11-02 18:02:42,2025-11-02 18:37:54,2112,DrMundo,TOP,2,7,4,0.86,11572,229,6.51,21252,56482,0,0,0,603.75,False
SG2_109861158,Ranked Flex,1762104693171,2025-11-02 17:31:33,2025-11-02 17:56:08,1475,Azir,MIDDLE,2,1,7,9.0,9289,191,7.77,13666,9602,19621,2042,17579,555.91,True
SG2_109850621,Ranked Flex,1762102029434,2025-11-02 16:47:09,2025-11-02 17:25:43,2314,Nautilus,MIDDLE,4,9,13,1.89,12582,181,4.69,26517,43462,4702,1154,3548,687.56,False
SG2_109844128,Ranked Flex,1762099274369,2025-11-02 16:01:14,2025-11-02 16:37:18,2164,Jax,JUNGLE,7,5,11,3.6,14247,194,5.38,21938,38949,62309,5736,56573,608.26,True
SG2_109681234,Ranked Flex,1762024881244,2025-11-01 19:21:21,2025-11-01 20:05:52,2671,Ryze,MIDDLE,8,11,21,2.64,16877,282,6.33,38382,50532,10696,1247,9449,862.19,False
SG2_109667928,Ranked Flex,1762019971997,2025-11-01 17:59:31,2025-11-01 18:26:52,1641,Kled,TOP,5,7,7,1.71,10330,141,5.16,22217,35383,11017,5643,5374,812.32,False
SG2_109664427,Ranked Flex,1762018147925,2025-11-01 17:29:07,2025-11-01 17:52:17,1390,RekSai,TOP,3,3,3,2.0,7448,125,5.4,7713,18146,3706,1797,1909,332.94,False
SG2_109659077,Ranked Flex,1762016447800,2025-11-01 17:00:47,2025-11-01 17:23:14,1347,Yone,TOP,2,4,6,2.0,7728,137,6.1,29691,21590,2718,0,2718,1322.54,False
SG2_109480004,Ranked Flex,1761933038404,2025-10-31 17:50:38,2025-10-31 18:08:52,1094,KSante,TOP,3,2,2,2.5,5929,108,5.92,8100,13125,136,0,136,444.24,True
SG2_109472202,Ranked Flex,1761930621959,2025-10-31 17:10:21,2025-10-31 17:44:51,2070,Kennen,TOP,6,2,10,8.0,13663,220,6.38,37867,26169,23048,11219,11829,1097.59,True
SG2_109134613,Ranked Flex,1761758862996,2025-10-29 17:27:42,2025-10-29 18:01:30,2028,Aatrox,TOP,8,4,11,4.75,14288,189,5.59,28842,46045,9670,7143,2527,853.31,True
SG2_109128834,Ranked Flex,1761756520930,2025-10-29 16:48:40,2025-10-29 17:21:43,1983,Gangplank,TOP,12,7,4,2.29,16617,227,6.87,39122,39363,12474,3913,8561,1183.72,False
SG2_109122348,Ranked Flex,1761754508099,2025-10-29 16:15:08,2025-10-29 16:42:06,1618,Aatrox,TOP,5,8,5,1.25,9621,131,4.86,25090,36911,1417,0,1417,930.41,False
SG2_109116290,Ranked Flex,1761752325372,2025-10-29 15:38:45,2025-10-29 16:05:10,1585,Graves,TOP,3,9,2,0.56,7777,118,4.47,19838,37587,1584,0,1584,750.97,False
SG2_109106076,Ranked Flex,1761750020722,2025-10-29 15:00:20,2025-10-29 15:29:19,1739,Pantheon,TOP,7,10,6,1.3,10712,132,4.55,31697,45254,638,0,638,1093.63,False
SG2_109097321,Ranked Flex,1761747295309,2025-10-29 14:14:55,2025-10-29 14:53:05,2290,KSante,TOP,2,3,10,4.0,13079,228,5.97,31443,49787,10057,4467,5590,823.83,True
SG2_109087707,Ranked Flex,1761745608831,2025-10-29 13:46:48,2025-10-29 14:08:58,1330,Gnar,TOP,15,1,6,21.0,11630,122,5.5,23612,20574,18859,6747,12112,1065.2,True
SG2_109080455,Ranked Flex,1761743094447,2025-10-29 13:04:54,2025-10-29 13:38:02,1988,Sion,TOP,1,7,5,0.86,11104,219,6.61,21142,55610,2562,1858,704,638.09,False
SG2_109073643,Ranked Flex,1761740930057,2025-10-29 12:28:50,2025-10-29 12:59:23,1833,Sivir,BOTTOM,1,6,9,1.67,10429,221,7.23,13584,23439,3598,2837,761,444.65,False
SG2_108939511,Ranked Flex,1761663580298,2025-10-28 14:59:40,2025-10-28 15:39:30,2390,Volibear,JUNGLE,15,12,20,2.92,19504,222,5.57,47545,69012,44914,2798,42116,1193.6,True
SG2_108931586,Ranked Flex,1761661675348,2025-10-28 14:27:55,2025-10-28 14:53:06,1511,Pantheon,JUNGLE,5,7,5,1.43,9103,126,5.0,14573,37189,22313,2729,19584,578.68,False
SG2_108925096,Ranked Flex,1761659497791,2025-10-28 13:51:37,2025-10-28 14:20:50,1753,Kled,TOP,11,6,10,3.5,13096,154,5.27,38945,57759,16968,9075,7893,1332.97,True
SG2_108915304,Ranked Flex,1761657369535,2025-10-28 13:16:09,2025-10-28 13:43:41,1652,Kalista,BOTTOM,5,4,8,3.25,11760,184,6.68,17548,13807,23297,1783,21514,637.34,True
SG2_108906133,Ranked Flex,1761654670676,2025-10-28 12:31:10,2025-10-28 13:08:05,2215,Zeri,BOTTOM,10,3,10,6.67,17750,296,8.02,33858,21853,25609,8789,16820,917.15,True
SG2_108004014,Ranked Flex,1761218969175,2025-10-23 11:29:29,2025-10-23 11:59:11,1782,Tristana,BOTTOM,11,2,12,11.5,13749,181,6.09,39011,16717,34237,12195,22042,1313.5,True
SG2_107530685,Ranked Flex,1760973722275,2025-10-20 15:22:02,2025-10-20 16:12:11,3009,Jhin,BOTTOM,17,10,22,3.9,22473,228,4.55,53425,42995,33048,1996,31052,1065.3,True
