match_id,game_mode,game_start_timestamp,game_start_date,game_duration,champion,role,lane,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,rank,win
SG2_114975693,Ranked Solo/Duo,1764351451543,2025-11-28 17:37:31,1128,Aatrox,SUPPORT,NONE,1,5,1,0.4,6083,99,5.27,7411,15311,3405,3405,0,394.2,TOP,False
SG2_114966466,Ranked Solo/Duo,1764348876678,2025-11-28 16:54:36,2070,Gangplank,SUPPORT,MIDDLE,9,6,13,3.67,14773,182,5.28,46657,38052,8373,8373,0,1352.38,TOP,True
SG2_114950064,Ranked Solo/Duo,1764344793135,2025-11-28 15:46:33,1850,Pantheon,SOLO,TOP,8,5,4,2.4,12017,156,5.06,33777,36117,3393,1788,1605,1095.47,TOP,False
SG2_114946471,Ranked Solo/Duo,1764344235248,2025-11-28 15:37:15,104,Kled,SUPPORT,NONE,0,0,0,0,509,0,0.0,89,165,0,0,0,51.35,TOP,False
SG2_114934672,Ranked Solo/Duo,1764342004353,2025-11-28 15:00:04,1710,Pantheon,SOLO,TOP,5,9,9,1.56,9429,145,5.09,22262,32876,3602,0,3602,781.12,TOP,False
SG2_114783614,Ranked Solo/Duo,1764265191662,2025-11-27 17:39:51,1805,Volibear,SOLO,TOP,6,4,5,2.75,13279,206,6.85,20703,28562,12769,7724,5045,688.19,TOP,True
SG2_114774815,Ranked Solo/Duo,1764262646809,2025-11-27 16:57:26,1863,Aatrox,DUO,TOP,4,1,3,7.0,13673,241,7.76,24253,28616,19390,5840,13550,781.1,TOP,True
SG2_114766543,Ranked Solo/Duo,1764260179423,2025-11-27 16:16:19,2104,KSante,SOLO,TOP,3,7,8,1.57,12100,168,4.79,33182,50352,9995,1136,8859,946.25,TOP,False
SG2_114754722,Ranked Solo/Duo,1764257472660,2025-11-27 15:31:12,2289,Gnar,DUO,MIDDLE,10,6,9,3.17,15880,230,6.03,37869,38376,19946,8361,11585,992.63,TOP,False
SG2_114605248,Ranked Solo/Duo,1764184461745,2025-11-26 19:14:21,2437,Gnar,SOLO,TOP,3,6,9,2.0,15541,263,6.48,30011,32392,12461,7230,5231,738.88,TOP,True
SG2_114601622,Ranked Solo/Duo,1764182890462,2025-11-26 18:48:10,159,Aatrox,SUPPORT,NONE,0,0,0,0,835,12,4.53,0,69,0,0,0,0.0,TOP,True
SG2_114600276,Ranked Solo/Duo,1764180624390,2025-11-26 18:10:24,1765,Kled,SOLO,TOP,10,8,2,1.5,12748,176,5.98,29035,44754,13506,8670,4836,987.03,TOP,True
SG2_114591712,Ranked Solo/Duo,1764178018036,2025-11-26 17:26:58,1937,Sion,SOLO,TOP,11,8,12,2.88,15328,191,5.92,29195,46640,17672,8062,9610,904.34,TOP,True
SG2_114587445,Ranked Solo/Duo,1764176361863,2025-11-26 16:59:21,1229,Ivern,NONE,JUNGLE,1,3,10,3.67,6382,83,4.05,7167,8685,8786,0,8786,349.89,JUNGLE,False
SG2_114578039,Ranked Solo/Duo,1764173506757,2025-11-26 16:11:46,1752,KSante,SOLO,TOP,5,7,12,2.43,10808,154,5.27,24696,35509,9742,5858,3884,845.75,TOP,False
SG2_114563810,Ranked Solo/Duo,1764170773486,2025-11-26 15:26:13,2434,KSante,SOLO,TOP,5,8,9,1.75,14369,211,5.2,31499,57376,4127,1876,2251,776.47,TOP,False
SG2_114376045,Ranked Flex,1764084417904,2025-11-25 15:26:57,2026,Azir,DUO,MIDDLE,8,4,9,4.25,14175,232,6.87,28666,29707,19586,5214,14372,848.94,MIDDLE,True
SG2_113987836,Ranked Flex,1763916642401,2025-11-23 16:50:42,2585,Jhin,CARRY,BOTTOM,32,9,21,5.89,22421,205,4.76,109156,41631,43918,3447,40471,2533.6,BOTTOM,True
SG2_113979564,Ranked Flex,1763914413715,2025-11-23 16:13:33,1884,Galio,SOLO,MIDDLE,0,7,9,1.29,9167,156,4.97,15121,41660,4831,1438,3393,481.56,MIDDLE,False
SG2_113968552,Ranked Flex,1763912171217,2025-11-23 15:36:11,1742,Ryze,SOLO,MIDDLE,6,8,4,1.25,11059,163,5.61,19123,27101,4156,2645,1511,658.66,MIDDLE,False
