match_id,game_mode,game_start_timestamp,game_start_date,game_duration,champion,role,lane,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,rank,win
SG2_116736316,Ranked Solo/Duo,1764958173207,2025-12-05 18:09:33,933,Pantheon,SUPPORT,NONE,0,7,0,0.0,3660,73,4.69,7962,12950,444,444,0,512.03,TOP,False
SG2_116723183,Ranked Solo/Duo,1764955490603,2025-12-05 17:24:50,2239,Kled,SOLO,TOP,8,11,5,1.18,13844,192,5.15,33557,52410,13545,8657,4888,899.25,TOP,False
SG2_116703890,Ranked Solo/Duo,1764952704576,2025-12-05 16:38:24,2347,Pantheon,SOLO,TOP,8,11,7,1.36,13432,204,5.22,31942,46435,1016,218,798,816.58,TOP,False
SG2_116692429,Ranked Solo/Duo,1764950577944,2025-12-05 16:02:57,1690,Gnar,DUO,MIDDLE,6,3,12,6.0,10654,155,5.5,22660,28025,29569,7107,22462,804.5,TOP,True
SG2_116675578,Ranked Solo/Duo,1764948498567,2025-12-05 15:28:18,1684,KSante,SOLO,TOP,5,3,5,3.33,11028,144,5.13,26964,31851,9698,5207,4491,960.71,TOP,True
SG2_116665472,Ranked Solo/Duo,1764946955629,2025-12-05 15:02:35,1178,Gangplank,SUPPORT,NONE,1,7,3,0.57,6231,121,6.16,10410,22044,1059,1059,0,530.22,TOP,False
SG2_116651330,Ranked Solo/Duo,1764945040904,2025-12-05 14:30:40,1594,Ornn,SOLO,TOP,2,5,2,0.8,8512,168,6.32,19337,27298,1862,1862,0,727.87,TOP,False
SG2_116633560,Ranked Solo/Duo,1764942545102,2025-12-05 13:49:05,2073,Kled,SOLO,TOP,6,4,17,5.75,15770,199,5.76,43360,61499,21208,14268,6940,1254.99,TOP,True
SG2_116615956,Ranked Solo/Duo,1764940155892,2025-12-05 13:09:15,2114,Aatrox,DUO,TOP,2,9,13,1.67,11632,199,5.65,18063,42687,6622,3080,3542,512.67,TOP,False
SG2_116079259,Ranked Solo/Duo,1764804021864,2025-12-03 23:20:21,2222,Ornn,SOLO,TOP,5,4,18,5.75,14369,196,5.29,31751,41401,17004,4242,12762,857.36,TOP,True
SG2_116075624,Ranked Solo/Duo,1764802054706,2025-12-03 22:47:34,1718,Volibear,SOLO,TOP,3,1,2,5.0,9924,177,6.18,11244,24603,10752,4397,6355,392.69,TOP,True
SG2_116072458,Ranked Solo/Duo,1764799617129,2025-12-03 22:06:57,1993,Kled,SOLO,TOP,5,7,3,1.14,13659,236,7.1,24889,62560,7092,4532,2560,749.29,TOP,False
SG2_116009727,Ranked Flex,1764779326758,2025-12-03 16:28:46,1318,KSante,SOLO,TOP,6,2,7,6.5,8636,113,5.14,17515,20072,7983,1358,6625,797.34,TOP,True
SG2_115995876,Ranked Flex,1764777081997,2025-12-03 15:51:21,1797,Jax,SOLO,TOP,5,11,2,0.64,10302,134,4.47,18440,37540,11393,7169,4224,615.69,TOP,False
SG2_115953634,Ranked Solo/Duo,1764770987616,2025-12-03 14:09:47,2314,Sion,SOLO,TOP,2,9,7,1.0,14630,257,6.66,30773,62034,13718,6851,6867,797.92,TOP,False
SG2_115932859,Ranked Solo/Duo,1764767976582,2025-12-03 13:19:36,1717,Tristana,SOLO,MIDDLE,9,6,10,3.17,11760,146,5.1,19505,20410,24568,3822,20746,681.6,MIDDLE,True
SG2_115717515,Ranked Solo/Duo,1764687416264,2025-12-02 14:56:56,2095,Aatrox,SOLO,TOP,0,8,2,0.25,10274,236,6.76,12822,36629,1885,1885,0,367.22,TOP,False
SG2_115705749,Ranked Solo/Duo,1764685093063,2025-12-02 14:18:13,1759,Azir,DUO,MIDDLE,3,8,4,0.88,10371,187,6.38,18471,24606,10638,3200,7438,630.05,MIDDLE,True
SG2_115530008,Ranked Flex,1764599464650,2025-12-01 14:31:04,1417,Pantheon,DUO,TOP,8,1,7,15.0,9808,137,5.8,28697,18604,4942,3755,1187,1215.12,TOP,True
SG2_115517494,Ranked Flex,1764597113131,2025-12-01 13:51:53,1921,Swain,DUO,MIDDLE,11,4,6,4.25,13493,162,5.06,33775,35732,6187,3447,2740,1054.92,TOP,True
SG2_115506681,Ranked Flex,1764594449413,2025-12-01 13:07:29,2210,Gnar,SOLO,TOP,4,7,17,3.0,13507,207,5.62,24664,38939,15367,5125,10242,669.61,TOP,True
SG2_115398660,Ranked Flex,1764527244041,2025-11-30 18:27:24,1670,AurelionSol,SOLO,MIDDLE,3,6,11,2.33,9730,129,4.63,15439,22824,20845,4176,16669,554.69,MIDDLE,True
SG2_115394691,Ranked Flex,1764525309440,2025-11-30 17:55:09,1497,Aurora,SOLO,MIDDLE,1,9,0,0.11,6772,133,5.33,10479,20439,0,0,0,420.0,MIDDLE,False
SG2_115389463,Ranked Flex,1764523080575,2025-11-30 17:18:00,1862,Nautilus,SOLO,MIDDLE,3,9,17,2.22,10511,155,4.99,23274,40852,5222,1383,3839,749.97,MIDDLE,True
SG2_115381835,Ranked Flex,1764520822476,2025-11-30 16:40:22,1903,Azir,SOLO,MIDDLE,4,6,11,2.5,13280,221,6.97,14613,28561,12867,6464,6403,460.74,MIDDLE,True
SG2_115375115,Ranked Flex,1764518249002,2025-11-30 15:57:29,2255,Gangplank,SOLO,MIDDLE,3,9,6,1.0,12751,205,5.45,26223,43072,1992,415,1577,697.73,MIDDLE,False
SG2_115363707,Ranked Flex,1764515923472,2025-11-30 15:18:43,1983,Swain,DUO,MIDDLE,4,8,15,2.38,11581,165,4.99,31408,42691,8869,2127,6742,950.32,MIDDLE,False
SG2_115343790,Ranked Flex,1764511637443,2025-11-30 14:07:17,1809,Yone,SOLO,TOP,1,8,5,0.75,9745,209,6.93,20949,32249,1710,1710,0,694.83,TOP,False
SG2_115330892,Ranked Flex,1764508954039,2025-11-30 13:22:34,2277,Gangplank,SOLO,TOP,12,9,12,2.67,18234,245,6.46,43753,38339,16126,6652,9474,1152.91,TOP,True
SG2_115312492,Ranked Flex,1764503201170,2025-11-30 11:46:41,1983,Zac,NONE,JUNGLE,2,6,12,2.33,9776,149,4.51,12045,45596,32518,444,32074,364.45,JUNGLE,False
SG2_115194683,Ranked Flex,1764442061543,2025-11-29 18:47:41,1652,Zac,NONE,JUNGLE,4,14,7,0.79,9451,100,3.63,15179,49546,10041,0,10041,551.3,JUNGLE,False
SG2_115186821,Ranked Flex,1764439131525,2025-11-29 17:58:51,2401,DrMundo,NONE,JUNGLE,2,9,17,2.11,12270,196,4.9,25537,95611,42672,88,42584,638.16,JUNGLE,True
SG2_115179484,Ranked Flex,1764436284789,2025-11-29 17:11:24,1772,Briar,NONE,JUNGLE,9,5,11,4.0,12583,184,6.23,20853,40301,56250,191,56059,706.08,JUNGLE,True
SG2_115167738,Ranked Flex,1764433548184,2025-11-29 16:25:48,1581,Ivern,NONE,JUNGLE,2,10,5,0.7,7871,110,4.17,12335,21675,9273,0,9273,468.12,JUNGLE,False
