match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_116736316,Ranked Solo/Duo,1764958173207,2025-12-05 18:09:33,2025-12-05 18:25:06,933,Pantheon,TOP,0,7,0,0.0,3660,73,4.69,7962,12950,444,444,0,512.03,False
SG2_116723183,Ranked Solo/Duo,1764955490603,2025-12-05 17:24:50,2025-12-05 18:02:09,2239,Kled,TOP,8,11,5,1.18,13844,192,5.15,33557,52410,13545,8657,4888,899.25,False
SG2_116703890,Ranked Solo/Duo,1764952704576,2025-12-05 16:38:24,2025-12-05 17:17:31,2347,Pantheon,TOP,8,11,7,1.36,13432,204,5.22,31942,46435,1016,218,798,816.58,False
SG2_116692429,Ranked Solo/Duo,1764950577944,2025-12-05 16:02:57,2025-12-05 16:31:07,1690,Gnar,TOP,6,3,12,6.0,10654,155,5.5,22660,28025,29569,7107,22462,804.5,True
SG2_116675578,Ranked Solo/Duo,1764948498567,2025-12-05 15:28:18,2025-12-05 15:56:22,1684,KSante,TOP,5,3,5,3.33,11028,144,5.13,26964,31851,9698,5207,4491,960.71,True
SG2_116665472,Ranked Solo/Duo,1764946955629,2025-12-05 15:02:35,2025-12-05 15:22:13,1178,Gangplank,TOP,1,7,3,0.57,6231,121,6.16,10410,22044,1059,1059,0,530.22,False
SG2_116651330,Ranked Solo/Duo,1764945040904,2025-12-05 14:30:40,2025-12-05 14:57:14,1594,Ornn,TOP,2,5,2,0.8,8512,168,6.32,19337,27298,1862,1862,0,727.87,False
SG2_116633560,Ranked Solo/Duo,1764942545102,2025-12-05 13:49:05,2025-12-05 14:23:38,2073,Kled,TOP,6,4,17,5.75,15770,199,5.76,43360,61499,21208,14268,6940,1254.99,True
SG2_116615956,Ranked Solo/Duo,1764940155892,2025-12-05 13:09:15,2025-12-05 13:44:29,2114,Aatrox,TOP,2,9,13,1.67,11632,199,5.65,18063,42687,6622,3080,3542,512.67,False
SG2_116079259,Ranked Solo/Duo,1764804021864,2025-12-03 23:20:21,2025-12-03 23:57:23,2222,Ornn,TOP,5,4,18,5.75,14369,196,5.29,31751,41401,17004,4242,12762,857.36,True
SG2_116075624,Ranked Solo/Duo,1764802054706,2025-12-03 22:47:34,2025-12-03 23:16:12,1718,Volibear,TOP,3,1,2,5.0,9924,177,6.18,11244,24603,10752,4397,6355,392.69,True
SG2_116072458,Ranked Solo/Duo,1764799617129,2025-12-03 22:06:57,2025-12-03 22:40:10,1993,Kled,TOP,5,7,3,1.14,13659,236,7.1,24889,62560,7092,4532,2560,749.29,False
SG2_116009727,Ranked Flex,1764779326758,2025-12-03 16:28:46,2025-12-03 16:50:44,1318,KSante,TOP,6,2,7,6.5,8636,113,5.14,17515,20072,7983,1358,6625,797.34,True
SG2_115995876,Ranked Flex,1764777081997,2025-12-03 15:51:21,2025-12-03 16:21:18,1797,Jax,TOP,5,11,2,0.64,10302,134,4.47,18440,37540,11393,7169,4224,615.69,False
SG2_115953634,Ranked Solo/Duo,1764770987616,2025-12-03 14:09:47,2025-12-03 14:48:21,2314,Sion,TOP,2,9,7,1.0,14630,257,6.66,30773,62034,13718,6851,6867,797.92,False
SG2_115932859,Ranked Solo/Duo,1764767976582,2025-12-03 13:19:36,2025-12-03 13:48:13,1717,Tristana,MIDDLE,9,6,10,3.17,11760,146,5.1,19505,20410,24568,3822,20746,681.6,True
SG2_115717515,Ranked Solo/Duo,1764687416264,2025-12-02 14:56:56,2025-12-02 15:31:51,2095,Aatrox,TOP,0,8,2,0.25,10274,236,6.76,12822,36629,1885,1885,0,367.22,False
SG2_115705749,Ranked Solo/Duo,1764685093063,2025-12-02 14:18:13,2025-12-02 14:47:32,1759,Azir,MIDDLE,3,8,4,0.88,10371,187,6.38,18471,24606,10638,3200,7438,630.05,True
SG2_115530008,Ranked Flex,1764599464650,2025-12-01 14:31:04,2025-12-01 14:54:41,1417,Pantheon,TOP,8,1,7,15.0,9808,137,5.8,28697,18604,4942,3755,1187,1215.12,True
SG2_115517494,Ranked Flex,1764597113131,2025-12-01 13:51:53,2025-12-01 14:23:54,1921,Swain,TOP,11,4,6,4.25,13493,162,5.06,33775,35732,6187,3447,2740,1054.92,True
SG2_115506681,Ranked Flex,1764594449413,2025-12-01 13:07:29,2025-12-01 13:44:19,2210,Gnar,TOP,4,7,17,3.0,13507,207,5.62,24664,38939,15367,5125,10242,669.61,True
SG2_115398660,Ranked Flex,1764527244041,2025-11-30 18:27:24,2025-11-30 18:55:14,1670,AurelionSol,MIDDLE,3,6,11,2.33,9730,129,4.63,15439,22824,20845,4176,16669,554.69,True
SG2_115394691,Ranked Flex,1764525309440,2025-11-30 17:55:09,2025-11-30 18:20:06,1497,Aurora,MIDDLE,1,9,0,0.11,6772,133,5.33,10479,20439,0,0,0,420.0,False
SG2_115389463,Ranked Flex,1764523080575,2025-11-30 17:18:00,2025-11-30 17:49:02,1862,Nautilus,MIDDLE,3,9,17,2.22,10511,155,4.99,23274,40852,5222,1383,3839,749.97,True
SG2_115381835,Ranked Flex,1764520822476,2025-11-30 16:40:22,2025-11-30 17:12:05,1903,Azir,MIDDLE,4,6,11,2.5,13280,221,6.97,14613,28561,12867,6464,6403,460.74,True
SG2_115375115,Ranked Flex,1764518249002,2025-11-30 15:57:29,2025-11-30 16:35:04,2255,Gangplank,MIDDLE,3,9,6,1.0,12751,205,5.45,26223,43072,1992,415,1577,697.73,False
SG2_115363707,Ranked Flex,1764515923472,2025-11-30 15:18:43,2025-11-30 15:51:46,1983,Swain,MIDDLE,4,8,15,2.38,11581,165,4.99,31408,42691,8869,2127,6742,950.32,False
SG2_115343790,Ranked Flex,1764511637443,2025-11-30 14:07:17,2025-11-30 14:37:26,1809,Yone,TOP,1,8,5,0.75,9745,209,6.93,20949,32249,1710,1710,0,694.83,False
SG2_115330892,Ranked Flex,1764508954039,2025-11-30 13:22:34,2025-11-30 14:00:31,2277,Gangplank,TOP,12,9,12,2.67,18234,245,6.46,43753,38339,16126,6652,9474,1152.91,True
SG2_115312492,Ranked Flex,1764503201170,2025-11-30 11:46:41,2025-11-30 12:19:44,1983,Zac,JUNGLE,2,6,12,2.33,9776,149,4.51,12045,45596,32518,444,32074,364.45,False
SG2_115194683,Ranked Flex,1764442061543,2025-11-29 18:47:41,2025-11-29 19:15:13,1652,Zac,JUNGLE,4,14,7,0.79,9451,100,3.63,15179,49546,10041,0,10041,551.3,False
SG2_115186821,Ranked Flex,1764439131525,2025-11-29 17:58:51,2025-11-29 18:38:52,2401,DrMundo,JUNGLE,2,9,17,2.11,12270,196,4.9,25537,95611,42672,88,42584,638.16,True
SG2_115179484,Ranked Flex,1764436284789,2025-11-29 17:11:24,2025-11-29 17:40:56,1772,Briar,JUNGLE,9,5,11,4.0,12583,184,6.23,20853,40301,56250,191,56059,706.08,True
SG2_115167738,Ranked Flex,1764433548184,2025-11-29 16:25:48,2025-11-29 16:52:09,1581,Ivern,JUNGLE,2,10,5,0.7,7871,110,4.17,12335,21675,9273,0,9273,468.12,False
