match_id,game_mode,game_start_timestamp,game_start_date,game_duration,champion,role,lane,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,rank,win
SG2_122807739,Ranked Flex,1766756364258,2025-12-26 13:39:24,1702,Blitzcrank,SUPPORT,BOTTOM,1,9,27,3.11,8815,19,0.67,7554,25289,3176,526,2650,266.3,UTILITY,True
SG2_122799843,Ranked Flex,1766754912294,2025-12-26 13:15:12,1163,Kalista,SUPPORT,NONE,2,6,0,0.33,6461,105,5.42,6596,11264,485,485,0,340.29,BOTTOM,False
SG2_122774812,Ranked Solo/Duo,1766749123353,2025-12-26 11:38:43,2081,Rell,SUPPORT,BOTTOM,4,7,32,5.14,12635,24,0.69,17136,32655,5781,2539,3242,494.07,UTILITY,True
SG2_122770066,Ranked Solo/Duo,1766747184054,2025-12-26 11:06:24,1480,Milio,SUPPORT,BOTTOM,0,6,9,1.5,5979,26,1.05,3820,16084,142,55,87,154.86,UTILITY,False
SG2_122758585,Ranked Solo/Duo,1766744429282,2025-12-26 10:20:29,2258,Aatrox,SOLO,TOP,5,8,8,1.62,12722,227,6.03,29870,43870,3844,918,2926,793.71,TOP,False
SG2_122277068,Ranked Flex,1766583684485,2025-12-24 13:41:24,1742,Ambessa,SOLO,TOP,3,7,3,0.86,9397,169,5.82,23945,33334,7577,1494,6083,824.74,TOP,False
SG2_122194934,Ranked Flex,1766562787734,2025-12-24 07:53:07,1617,Gnar,CARRY,BOTTOM,5,9,13,2.0,10078,134,4.97,20939,33475,2194,1759,435,776.96,BOTTOM,False
SG2_122186303,Ranked Flex,1766560127672,2025-12-24 07:08:47,1621,Zeri,SOLO,BOTTOM,8,7,9,2.43,12691,195,7.22,24340,20874,4236,3674,562,900.93,BOTTOM,False
SG2_122156867,Ranked Solo/Duo,1766552041876,2025-12-24 04:54:01,1772,Azir,SOLO,MIDDLE,3,7,9,1.71,9443,130,4.4,16614,24327,4662,3523,1139,562.55,MIDDLE,True
SG2_122152309,Ranked Solo/Duo,1766549923184,2025-12-24 04:18:43,1819,KSante,SOLO,TOP,7,5,5,2.4,12159,206,6.79,22516,34924,938,938,0,742.69,TOP,False
SG2_122146636,Ranked Solo/Duo,1766547955265,2025-12-24 03:45:55,1463,Aatrox,SOLO,TOP,5,1,10,15.0,10204,147,6.03,22264,17751,17998,7126,10872,913.08,TOP,True
SG2_122142765,Ranked Solo/Duo,1766546601843,2025-12-24 03:23:21,911,Ambessa,SUPPORT,NONE,4,0,1,5,5812,100,6.59,9171,7992,2550,1510,1040,604.02,TOP,True
SG2_121700793,Ranked Flex,1766402594292,2025-12-22 11:23:14,2110,Zeri,CARRY,BOTTOM,5,6,9,2.33,14187,264,7.51,30879,28214,8883,2529,6354,878.08,BOTTOM,False
SG2_121687935,Ranked Flex,1766399287777,2025-12-22 10:28:07,2640,Camille,SOLO,TOP,5,7,14,2.71,17143,247,5.61,36066,35959,11269,11269,0,819.68,TOP,True
SG2_121517081,Ranked Flex,1766331690191,2025-12-21 15:41:30,1801,Pantheon,SOLO,TOP,11,4,3,3.5,12263,182,6.06,27404,18029,12370,4567,7803,912.96,TOP,True
SG2_121500553,Ranked Flex,1766329009511,2025-12-21 14:56:49,1688,Ambessa,SOLO,TOP,10,5,6,3.2,11376,154,5.47,22541,25951,10183,4431,5752,801.22,TOP,False
SG2_121480938,Ranked Solo/Duo,1766325804497,2025-12-21 14:03:24,1173,Rakan,SUPPORT,NONE,1,2,11,6.0,5941,23,1.18,3842,10459,4001,2447,1554,196.52,UTILITY,True
